Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
2;B;non;69,36;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;oui;"109C10FX; 201105RE; 340CJAFX; 42005AFX; 42016BFX";"201105RE;E; 340102MQ;D; 42005AFX;E; 42006AFX;D; 42007BFX;D; 42016BFX;E; 601102MQ;E"
2;A;non;66,4;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42008DFX; 42014DFX; 42015DFX; 42016DFX; 520CJFFX; 601102MQ; 604C2GFX";"340102MQ;D; 42005CFX;D; 42006CFX;D; 42008CFX;A; 42014CFX;D; 601101MQ;C"
2;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"42006EFX; 42008CFX; 42014DFX; 601CJBFX; 604C1BFX";"109C01FX;B; 3500BDFX;B; 42008DFX;A; 42014CFX;B; 42015DFX;B; 42016DFX;A"
2;B;non;66,81;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"3500BDFX;D; 42008DFX;A; 42014DFX;A; 42015DFX;A"
1;B;non;81,29;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"3500BDFX;A; 42008DFX;A; 42014DFX;A; 42015DFX;A; 42016DFX;A"
4;B;non;60,75;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42005BFX; 42014BFX";"3500BDFX;B; 42005BFX;E; 42014BFX;E; 42016DFX;C"
2;B;non;68,14;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"3500BDFX;B; 42008DFX;C; 42014DFX;B; 42015DFX;C; 42016DFX;B"
1;B;non;62,88;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"340CJAFX; 42008DFX; 42014CFX; 42016DFX";"3500BDFX;B; 42005CFX;D; 42006CFX;D; 42008CFX;A; 42014CFX;E"
2;B;non;79,15;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42005CFX; 42006CFX";"3500BDFX;C; 42005CFX;E; 42006CFX;E; 42016DFX;E"
4;B;non;74;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"3500BDFX;C; 42008DFX;A; 42014DFX;B; 42015DFX;C; 42016DFX;C"
4;B;non;67,21;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42006CFX; 42014BFX; 601103MQ";"3500BDFX;C; 42005BFX;D; 42014BFX;E; 601102MQ;D"
4;B;non;77,35;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"201203RE;B; 42008DFX;A; 42014DFX;B; 42015DFX;B; 42016DFX;B"
1;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;RT;oui;non;"20101AFX; 42005BFX; 42006CFX; 42014BFX; 601101MQ";"109B01FX;B; 340102MQ;B; 3500BDFX;C; 42005BFX;E; 42014BFX;E; 601101MQ;E; 604C0HFX;E"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109C10FX; 201203RE; 340CJCFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 601102MQ";"201103RE;C; 42005CFX;C; 42006CFX;B; 42008CFX;A; 42014CFX;C; 601102MQ;E"
4;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"109B02FX; 20101AFX; 340101MQ; 42004AFX; 42006CFX; 601R13FX";aucune donnée
2;B;non;43,83;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C08FX; 385CJB03; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C3DFX";"201103RE;C; 42005CFX;A; 42006CFX;A; 42008CFX;A; 42014CFX;A; 601103MQ;B"
